,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,89,89,89,89
1,175,86,175,86
2,264,89,264,89
3,351,87,351,87
4,439,88,438,87
5,527,88,527,89
6,616,89,616,89
7,703,87,703,87
8,792,89,792,89
9,880,88,879,87
10,969,89,968,89
11,1055,86,1054,86
12,1142,87,1141,87
13,1224,82,1224,83
14,1224,0,1224,0
15,1224,0,1224,0
16,1311,87,1311,87
17,1400,89,1400,89
18,1490,90,1490,90
19,1579,89,1579,89
20,1667,88,1666,87
21,1752,85,1752,86
22,1840,88,1840,88
23,1928,88,1928,88
24,2017,89,2017,89
25,2104,87,2104,87
26,2105,1,2105,1
27,2105,0,2105,0
28,2105,0,2105,0
29,2105,0,2105,0
30,2105,0,2105,0
31,2105,0,2105,0
