,packid_history,packs_per_sec,dropid_history,drops_per_sec
0,9,9,9,9
1,19,10,19,10
2,28,9,28,9
3,37,9,37,9
4,47,10,47,10
5,57,10,57,10
6,66,9,66,9
7,75,9,75,9
8,85,10,85,10
9,94,9,94,9
10,103,9,103,9
11,112,9,112,9
12,122,10,122,10
13,132,10,132,10
14,142,10,142,10
15,151,9,151,9
16,160,9,160,9
17,170,10,170,10
18,179,9,179,9
19,188,9,188,9
20,197,9,197,9
21,206,9,206,9
22,216,10,216,10
23,226,10,226,10
24,236,10,236,10
25,245,9,245,9
26,254,9,254,9
27,263,9,263,9
28,272,9,272,9
29,282,10,282,10
