,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,17,8,17,8
2,26,9,26,9
3,34,8,34,8
4,43,9,43,9
5,51,8,51,8
6,59,8,59,8
7,68,9,68,9
8,77,9,77,9
9,84,7,84,7
10,92,8,92,8
11,102,10,102,10
12,110,8,110,8
13,118,8,118,8
14,127,9,127,9
15,136,9,136,9
16,144,8,144,8
17,153,9,153,9
18,160,7,160,7
19,168,8,168,8
20,176,8,176,8
21,185,9,185,9
22,193,8,193,8
23,200,7,200,7
24,209,9,209,9
25,218,9,218,9
26,225,7,225,7
27,234,9,234,9
28,242,8,242,8
29,251,9,251,9
30,258,7,258,7
31,268,10,268,10
32,276,8,276,8
33,284,8,284,8
34,292,8,292,8
35,301,9,301,9
36,308,7,308,7
