,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,10,10,10,10
1,20,10,20,10
2,28,8,28,8
3,37,9,37,9
4,47,10,47,10
5,56,9,56,9
6,65,9,65,9
7,75,10,75,10
8,84,9,84,9
9,93,9,93,9
10,102,9,102,9
11,111,9,111,9
12,120,9,120,9
13,130,10,130,10
14,139,9,139,9
15,148,9,148,9
16,157,9,157,9
17,167,10,167,10
18,175,8,175,8
19,185,10,185,10
20,195,10,195,10
21,203,8,203,8
22,213,10,213,10
23,222,9,222,9
24,231,9,231,9
25,240,9,240,9
26,250,10,250,10
27,259,9,259,9
28,269,10,269,10
29,278,9,278,9
30,287,9,287,9
31,297,10,297,10
32,307,10,307,10
33,316,9,316,9
34,325,9,325,9
35,334,9,334,9
