,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,18,9,18,9
2,26,8,26,8
3,35,9,35,9
4,44,9,44,9
5,53,9,53,9
6,61,8,61,8
7,71,10,71,10
8,79,8,79,8
9,88,9,88,9
10,97,9,97,9
11,106,9,106,9
12,115,9,115,9
13,123,8,123,8
14,132,9,132,9
15,141,9,141,9
16,150,9,150,9
17,159,9,159,9
18,168,9,168,9
19,177,9,177,9
20,186,9,186,9
21,195,9,195,9
22,204,9,204,9
23,214,10,214,10
24,223,9,223,9
25,232,9,232,9
26,242,10,242,10
27,251,9,251,9
28,260,9,260,9
29,269,9,269,9
30,279,10,279,10
31,288,9,288,9
32,297,9,297,9
33,306,9,306,9
34,316,10,316,10
