,packet_id_history,packets_per_sec,drop_id_history,drops_per_sec
0,9,9,9,9
1,18,9,18,9
2,26,8,26,8
3,35,9,35,9
4,44,9,44,9
5,52,8,52,8
6,61,9,61,9
7,69,8,69,8
8,78,9,78,9
9,87,9,87,9
10,96,9,96,9
11,104,8,104,8
12,112,8,112,8
13,121,9,121,9
14,130,9,130,9
15,139,9,139,9
16,148,9,148,9
17,156,8,156,8
18,165,9,165,9
19,173,8,173,8
20,181,8,181,8
21,190,9,190,9
22,199,9,199,9
23,207,8,207,8
24,216,9,216,9
25,225,9,225,9
26,234,9,234,9
27,243,9,243,9
28,251,8,251,8
29,259,8,259,8
30,267,8,267,8
31,276,9,276,9
